Date, Close/Last, Volume, Open, High, Low
01/28/2021, $44.6, 12404570, $45.16, $46.25, $44.33
01/27/2021, $44.15, 10428720, $45.25, $45.7, $43.87
01/26/2021, $45.81, 5667206, $45.75, $46.22, $45.6
01/25/2021, $45.62, 13345650, $47.28, $47.34, $45.17
01/22/2021, $47.39, 4812538, $47.18, $47.75, $47.07
01/21/2021, $47.77, 5663916, $47.75, $47.94, $47.12
01/20/2021, $48.21, 6972479, $47.1, $48.445, $46.8975
01/19/2021, $46.91, 4780727, $47.2, $47.65, $46.76
01/15/2021, $46.66, 7359133, $48.58, $48.71, $46.64
01/14/2021, $48.82, 8090560, $48.65, $49.47, $48.44
01/13/2021, $47.99, 6261899, $47.89, $48.4337, $47.48
01/12/2021, $48.13, 5356833, $47.7, $48.48, $47.28
01/11/2021, $47.44, 7914469, $46.51, $48.04, $46.12
01/08/2021, $46.98, 4770550, $47.64, $47.9365, $46.71
01/07/2021, $47.33, 6282279, $46.75, $47.84, $46.73
01/06/2021, $46.75, 7492848, $45.5, $46.97, $45.37
01/05/2021, $45.64, 5204379, $44.9, $46.117, $44.84
01/04/2021, $45.04, 10256260, $46.48, $46.54, $44.5601
12/31/2020, $46.61, 5305619, $46.18, $46.78, $45.68
12/30/2020, $46.41, 4845590, $46.21, $46.93, $46.125
12/29/2020, $46.15, 4749482, $46.35, $46.77, $45.97
12/28/2020, $46.12, 5476643, $46.87, $47.17, $46.11
12/24/2020, $46.28, 2973402, $47, $47.09, $45.81
12/23/2020, $46.75, 6474189, $45.47, $47.1, $45.47
12/22/2020, $45.32, 4566490, $46, $46.15, $44.98
12/21/2020, $45.8, 7656946, $44.76, $46.13, $44.45
12/18/2020, $46.03, 8398053, $46.22, $46.34, $45.66
12/17/2020, $46.39, 6368733, $45.8, $46.4, $45.45
12/16/2020, $45.73, 6441829, $46.42, $46.42, $45.2699
12/15/2020, $46.42, 5975746, $45.68, $46.49, $44.9529
12/14/2020, $45.26, 6939733, $46.58, $46.6, $45.24
12/11/2020, $45.88, 7638023, $46, $46.59, $45.1596
12/10/2020, $46.8, 8322932, $45.09, $46.995, $45.02
12/09/2020, $45.76, 20733720, $47.34, $47.54, $45.25
12/08/2020, $47.28, 9132133, $47.3, $47.925, $47.06
12/07/2020, $47.89, 8097443, $48.34, $48.43, $47.505
12/04/2020, $47.59, 7615787, $48.37, $48.79, $47.07
12/03/2020, $47.82, 9892202, $47.95, $49.53, $47.66
12/02/2020, $47.44, 6054713, $46.88, $47.76, $46.46
12/01/2020, $47.27, 7547960, $46.55, $48.09, $46.5
11/30/2020, $46.34, 8791523, $47.65, $47.7, $46.04
11/27/2020, $47.73, 4051900, $48.25, $48.74, $47.65
11/25/2020, $48.27, 7281760, $48.47, $48.57, $47.5
11/24/2020, $48.25, 12108810, $48.9, $49.23, $47.6491
11/23/2020, $46.81, 10113040, $46.11, $46.95, $45.28
11/20/2020, $45.54, 6595685, $46.05, $46.05, $45.035
11/19/2020, $46.08, 6628562, $45.53, $46.46, $45.41
11/18/2020, $45.6, 11424710, $46.82, $47.28, $45.6
11/17/2020, $45.66, 8384508, $44.86, $46.24, $44.43
11/16/2020, $45.58, 14330010, $46.06, $46.2, $44.54
11/13/2020, $43.88, 7857464, $42.17, $44.145, $42.11
11/12/2020, $41.92, 11057500, $41.78, $43.28, $41.4
11/11/2020, $43.22, 10332750, $44.9, $44.91, $42.66
11/10/2020, $44.81, 16842550, $43.88, $45.12, $43.33
11/09/2020, $43.89, 30140190, $46.85, $49.47, $43.79
11/06/2020, $40.01, 5993329, $40.74, $40.93, $39.77
11/05/2020, $41.05, 8070248, $39.44, $41.2489, $39.38
11/04/2020, $38.93, 8999852, $38.85, $39.65, $38.05
11/03/2020, $38.85, 7275288, $39.23, $39.4, $38.665
11/02/2020, $38.4, 11362010, $39.93, $39.94, $37.95
10/30/2020, $39.53, 11258520, $39.39, $40.2, $38.98
10/29/2020, $39.57, 8383606, $38.09, $39.87, $37.95
10/28/2020, $38.14, 12101010, $38.87, $39.38, $37.48
10/27/2020, $39.93, 6525138, $40.7, $41.02, $39.78
10/26/2020, $41.1, 9712881, $42.08, $42.475, $40.395
10/23/2020, $42.79, 12518730, $42.04, $43.39, $41.53
10/22/2020, $41.93, 13663910, $40.13, $42.55, $40.08
10/21/2020, $39.84, 6532598, $40, $40.17, $39.53
10/20/2020, $40.16, 7203938, $40.5, $40.9, $40.08
10/19/2020, $39.85, 8592233, $40, $40.75, $39.566
10/16/2020, $39.68, 7334812, $39.03, $39.885, $39.01
10/15/2020, $38.8, 4496037, $38.65, $38.9, $38.142
10/14/2020, $39.25, 6908648, $39.25, $39.99, $39.16
10/13/2020, $39.13, 8839351, $38.7, $39.44, $38.58
10/12/2020, $39.19, 7378491, $39.49, $39.89, $39.05
10/09/2020, $39.73, 10501830, $38.94, $39.8, $38.6
10/08/2020, $38.99, 9138834, $39, $39.6, $38.03
10/07/2020, $38.59, 8679318, $38, $38.735, $37.71
10/06/2020, $37.58, 10136040, $38.97, $39.335, $37.535
10/05/2020, $38.49, 9304308, $39.16, $39.24, $38.17
10/02/2020, $38.76, 11937400, $36.14, $39.32, $36.05
10/01/2020, $37.93, 8186768, $37.96, $38.26, $37.39
09/30/2020, $37.5, 10144880, $38.33, $39.08, $37.4
09/29/2020, $37.61, 5263511, $38.05, $38.05, $37.19
09/28/2020, $38.24, 9235159, $38.07, $39.11, $37.57
09/25/2020, $37.1, 9297277, $36.41, $37.28, $36.31
09/24/2020, $36.86, 10798770, $37.03, $37.42, $35.82
09/23/2020, $37.55, 6797506, $38.39, $39.275, $37.48
09/22/2020, $38.12, 10740040, $37.35, $38.1978, $37.11
09/21/2020, $37.52, 14266940, $38.05, $38.47, $36.75
09/18/2020, $39.83, 21206270, $39.77, $40.51, $39.31
09/17/2020, $40.4, 15234640, $41.31, $41.995, $40.085
09/16/2020, $42.1, 19858500, $40.52, $42.88, $40.275
09/15/2020, $40.61, 10131160, $40.26, $40.98, $40.1
09/14/2020, $40.06, 9680749, $39.35, $40.25, $39.063
09/11/2020, $38.95, 8044874, $39.05, $39.41, $38.68
09/10/2020, $38.94, 9024766, $39.52, $39.95, $38.865
09/09/2020, $39.22, 12211510, $40.09, $40.44, $38.81
09/08/2020, $40.5, 15808630, $39.18, $40.8, $39.18
09/04/2020, $39.39, 15543430, $39.19, $40.0699, $38.06
09/03/2020, $38.74, 16721370, $39.28, $40.655, $37.85
09/02/2020, $39.17, 11157420, $38.57, $39.34, $37.68
09/01/2020, $37.91, 10884670, $36.84, $38.67, $36.5606
08/31/2020, $37.58, 9824277, $38.75, $38.81, $37.58
08/28/2020, $38.81, 14082630, $38.11, $39.06, $37.59
08/27/2020, $37.65, 14342550, $37.54, $38.88, $37.313
08/26/2020, $36.38, 7938202, $36.91, $37.07, $36.325
08/25/2020, $37.06, 11774020, $37.43, $37.5, $36.34
08/24/2020, $36.91, 15211940, $35.29, $36.94, $34.96
08/21/2020, $34.69, 11435500, $34.3, $35.19, $34.28
08/20/2020, $34.46, 9149336, $33.65, $34.575, $33.48
08/19/2020, $34.27, 14959370, $34.91, $35.78, $34.145
08/18/2020, $34.16, 7256144, $33.82, $34.25, $33.54
08/17/2020, $33.81, 8113529, $35.06, $35.18, $33.7927
08/14/2020, $34.9, 7373448, $34.3, $35.13, $34.2
08/13/2020, $34.71, 8576839, $34.71, $35.6999, $34.6213
08/12/2020, $35.25, 13028990, $35.83, $36.08, $34.3611
08/11/2020, $35.29, 21870250, $36.61, $37.44, $35.07
08/10/2020, $34.99, 15958000, $33.65, $35.145, $33.55
08/07/2020, $33.28, 9381196, $32.84, $33.3, $32.69
08/06/2020, $33.02, 15007850, $33.26, $33.35, $32.315
08/05/2020, $32.72, 15269880, $31.9, $33.1997, $31.79
08/04/2020, $31.4, 12040130, $31.7, $32.27, $31.38
08/03/2020, $31.58, 13471910, $30.75, $32.15, $30.295
07/31/2020, $30.89, 11131690, $30.8, $31.02, $30.24
07/30/2020, $30.96, 12316530, $31.33, $31.65, $30.77
07/29/2020, $31.79, 11150810, $32.58, $32.63, $31.48
07/28/2020, $32.29, 10257630, $31.51, $32.67, $31.48
07/27/2020, $31.53, 9759043, $31.57, $31.93, $31.235
07/24/2020, $31.66, 14976690, $32.31, $32.45, $31.57
07/23/2020, $32.79, 22888540, $32.75, $34.16, $32.0626
07/22/2020, $33.3, 10424030, $33.5, $33.91, $33.05
07/21/2020, $33.62, 11942940, $33.33, $34.16, $33.25
07/20/2020, $32.98, 12541750, $33.97, $34.295, $32.73
07/17/2020, $34.13, 7792962, $34.07, $34.52, $33.8176
07/16/2020, $34.21, 11389900, $34.83, $35.08, $33.9
07/15/2020, $35.75, 21286070, $35.03, $36.095, $34.27
07/14/2020, $33.25, 11588770, $31.84, $33.38, $31.75
07/13/2020, $32.64, 15503430, $33.42, $33.53, $32.27
07/10/2020, $33.22, 14939510, $31.16, $33.35, $31.16
07/09/2020, $31.57, 17209470, $32.47, $32.73, $31.3
07/08/2020, $32.89, 16028350, $32.56, $33.47, $32.07
07/07/2020, $33.01, 10922120, $33.49, $33.54, $32.94
07/06/2020, $34.3, 16454930, $34.72, $34.88, $33.15
07/02/2020, $34.12, 12300630, $34.7, $34.9186, $33.9607
07/01/2020, $33.81, 16126970, $35.29, $35.5983, $33.67
06/30/2020, $34.18, 18758370, $34.98, $34.99, $33.57
06/29/2020, $35.04, 25720780, $33.15, $35.36, $32.33
06/26/2020, $31.96, 23961980, $33.13, $33.15, $31.18
06/25/2020, $32.97, 18182610, $31.19, $33.06, $30.94
06/24/2020, $32.25, 19031730, $34, $34.27, $32.23
06/23/2020, $34.75, 15215010, $34.78, $34.8, $33.85
06/22/2020, $34.36, 14395710, $34.03, $34.82, $33.6418
06/19/2020, $34.55, 20498960, $36.57, $36.61, $33.95
06/18/2020, $35.85, 13810120, $35.65, $36.565, $35.41
06/17/2020, $36.31, 18721050, $36.24, $36.8, $35.67
06/16/2020, $36.57, 30327520, $38.51, $38.63, $35.52
06/15/2020, $36.34, 23794660, $33.8, $36.92, $33.61
06/12/2020, $35.87, 26920390, $36.06, $36.99, $34.31
06/11/2020, $32.83, 28556970, $32.94, $35.17, $32.5
06/10/2020, $37.14, 37974180, $36.01, $38.2, $34.76
06/09/2020, $38.01, 26724410, $38.36, $38.81, $36.58
06/08/2020, $40.59, 31340960, $40.14, $40.61, $38.7
06/05/2020, $38.18, 54289270, $41.98, $42.35, $37.57
06/04/2020, $38.27, 54234480, $37.79, $39.76, $36.6
06/03/2020, $36.42, 26644950, $35.07, $36.9469, $34.9
06/02/2020, $34.48, 22875730, $34.86, $35.2, $34.03
06/01/2020, $33.62, 20877770, $32.3, $34.4, $32.16
05/29/2020, $32.1, 19763230, $31.48, $32.82, $31.2
05/28/2020, $32.55, 24802090, $33.9, $34.095, $32.34
05/27/2020, $33.66, 44902350, $34.9, $35.16, $31.4
05/26/2020, $32.52, 41232500, $31.71, $32.935, $31.44
05/22/2020, $28.87, 17558230, $29.76, $29.98, $28.31
05/21/2020, $29.6, 22166520, $29.31, $30.12, $29.02
05/20/2020, $29.15, 27248980, $28.47, $29.33, $28.1724
05/19/2020, $27.69, 35768210, $28.5, $28.85, $26.9301
05/18/2020, $27.09, 27200460, $25.75, $27.24, $25.55
05/15/2020, $23.87, 18679790, $24.37, $24.87, $23.75
05/14/2020, $24.78, 23187180, $23.38, $24.81, $22.465
05/13/2020, $24, 22892450, $25.02, $25.1, $23.52
05/12/2020, $25.24, 16904410, $26.19, $26.62, $25.14
05/11/2020, $26.09, 20841480, $26.62, $26.86, $25.78
05/08/2020, $27.2, 19156090, $26.04, $27.23, $25.91
05/07/2020, $25.45, 24535910, $24.99, $26.27, $24.95
05/06/2020, $24.93, 36971840, $26.55, $26.74, $24.77
05/05/2020, $26.42, 36676880, $28.07, $28.13, $26.175
05/04/2020, $27.56, 43447680, $27.23, $27.94, $26.5
05/01/2020, $29.23, 36353790, $30.5, $30.955, $28.75
04/30/2020, $31.25, 62444660, $30.71, $31.69, $30.18
04/29/2020, $30.97, 101007800, $29.49, $31.795, $29.43
04/28/2020, $29.69, 54153870, $29.12, $30.48, $28.25
04/27/2020, $29.11, 14224470, $29.79, $29.91, $28.85
04/24/2020, $29.33, 15157120, $30.2, $30.43, $28.8
04/23/2020, $30.14, 11631590, $29.81, $30.775, $29.59
04/22/2020, $29.71, 15697220, $30.63, $30.81, $28.8
04/21/2020, $30.11, 12562700, $30.05, $31.23, $29.6
04/20/2020, $31.06, 14553900, $30.64, $31.48, $29.51
04/17/2020, $31.19, 20139900, $32.5, $32.95, $30.9
04/16/2020, $30.68, 17862320, $32.12, $32.35, $30.2
04/15/2020, $32.82, 20028660, $35.15, $35.26, $32.52
04/14/2020, $34.78, 8860162, $35.17, $36.05, $34.71
04/13/2020, $34.26, 9067547, $36.72, $36.72, $33.75
04/09/2020, $36.47, 10383690, $36.3, $37.31, $35.13
04/08/2020, $34.3, 8923805, $33.56, $34.78, $32.63
04/07/2020, $32.77, 14036120, $33.84, $35.43, $32.32
04/06/2020, $30.7, 13832960, $31.79, $31.96, $30
04/03/2020, $30.54, 9915912, $31.33, $31.88, $29.73
04/02/2020, $31.5, 7853467, $32.11, $32.84, $30.87
04/01/2020, $32.04, 8545871, $34.05, $34.2, $31.81
03/31/2020, $35.61, 7801069, $35.27, $37.47, $34.95
03/30/2020, $35.1, 7443313, $35.52, $37.15, $34.5
03/27/2020, $36.38, 8297372, $39.84, $40.135, $36.1
03/26/2020, $41.23, 8990799, $40.9, $43.56, $40.06
03/25/2020, $39.4, 16346740, $41.52, $41.7262, $37.31
03/24/2020, $37.66, 12803070, $38.2, $39.13, $36.05
03/23/2020, $33.73, 9616821, $31.69, $34.49, $30.25
03/20/2020, $31.94, 12617850, $32.06, $33.95, $29.65
03/19/2020, $30.86, 18052640, $34.65, $35.05, $30.5
03/18/2020, $35.15, 14219630, $35.78, $36.42, $29.15
03/17/2020, $38.25, 8133512, $38.21, $40.69, $36
03/16/2020, $37.52, 15849920, $36.5, $39.45, $35.85
03/13/2020, $41.28, 14308770, $39.19, $41.28, $36.31
03/12/2020, $36.07, 16353390, $39.33, $40.6, $35.6101
03/11/2020, $42.49, 10512430, $43.99, $44.38, $41.63
03/10/2020, $45.56, 9366888, $45.28, $45.85, $42.51
03/09/2020, $43.62, 9602323, $42.89, $45.61, $42.72
03/06/2020, $45.73, 10708130, $43.56, $46.8, $42.72
03/05/2020, $45.25, 10774800, $45.06, $45.7, $44.18
03/04/2020, $46.93, 8990316, $45.89, $47.065, $44.855
03/03/2020, $45.21, 7338136, $47.54, $48.3934, $45.05
03/02/2020, $46.95, 9043193, $46.54, $47.18, $44.34
02/28/2020, $46.19, 11854050, $45.07, $46.77, $44.98
02/27/2020, $46.63, 10355850, $47.15, $49.2057, $45.64
02/26/2020, $48.9, 9289924, $50.09, $50.48, $48.08
02/25/2020, $49.66, 9351708, $54.41, $54.5, $49.55
02/24/2020, $54.11, 7538409, $54.87, $54.99, $53.3529
02/21/2020, $56.53, 2324591, $56.53, $56.8, $55.46
02/20/2020, $56.94, 2924965, $57.04, $57.51, $56.71
02/19/2020, $57.11, 2135139, $57.68, $57.74, $57.06
02/18/2020, $57.6, 3086560, $58, $58.34, $57.38
02/14/2020, $57.97, 2481776, $58.68, $58.83, $57.89
02/13/2020, $58.54, 2401816, $58.06, $58.685, $57.845
02/12/2020, $58.48, 2234541, $58.27, $58.655, $58
02/11/2020, $57.93, 2848551, $57.82, $58.585, $57.59
02/10/2020, $57.42, 2882148, $57.2, $57.49, $56.53
02/07/2020, $57.26, 2703562, $57.46, $57.71, $56.99
02/06/2020, $57.72, 4332037, $57.38, $58.01, $57.075
02/05/2020, $56.95, 3162737, $56.43, $57.23, $56.12
02/04/2020, $55.68, 3619435, $55.99, $56.365, $55.5
02/03/2020, $55.22, 4071269, $55.41, $55.734, $54.69
01/31/2020, $54.98, 5552350, $55.62, $55.92, $54.63
01/30/2020, $55.83, 5129592, $55.31, $56.47, $55.22
01/29/2020, $56.89, 6667193, $57.75, $58.1902, $56.82
01/28/2020, $57.6, 6242279, $56.59, $57.73, $56.39
01/27/2020, $56.25, 8275105, $55.23, $56.66, $55.15
01/24/2020, $56.55, 7995110, $55.61, $56.56, $54.96
01/23/2020, $55.4, 6784753, $53, $55.46, $51.85
01/22/2020, $53.48, 5303646, $53.9, $54.28, $53.46
01/21/2020, $53.54, 6753491, $54.63, $55.07, $53.18
01/17/2020, $55.01, 3999891, $55.41, $55.49, $54.76
01/16/2020, $55.3, 2950482, $55.38, $55.68, $55.075
01/15/2020, $55.03, 4097508, $54.29, $55.095, $54.115
01/14/2020, $54.49, 5007384, $54.58, $55.175, $54.34
01/13/2020, $53.99, 3958671, $53.94, $54.075, $53.605
01/10/2020, $53.94, 4051370, $54.35, $54.4, $53.69
01/09/2020, $54.3, 3850898, $54.5, $54.82, $54.2
01/08/2020, $54.37, 4103073, $53.68, $54.66, $53.64
01/07/2020, $54.29, 2999946, $54.33, $54.4, $53.88
01/06/2020, $54.13, 4200277, $53.69, $54.56, $53.48
01/03/2020, $54.35, 3536078, $53.6, $54.42, $53.04
01/02/2020, $54.84, 3508411, $54.38, $54.87, $54.285
12/31/2019, $53.98, 2881102, $54.04, $54.12, $53.82
12/30/2019, $54.08, 2696286, $54.32, $54.4, $53.82
12/27/2019, $54.32, 3348246, $54.97, $55, $54.06
12/26/2019, $54.9, 1930797, $54.94, $55.34, $54.6
12/24/2019, $54.94, 1326390, $55.27, $55.3235, $54.67
12/23/2019, $55.25, 7845761, $54.81, $56.09, $54.67
12/20/2019, $54.63, 7820050, $54.28, $54.7, $54.01
12/19/2019, $54.08, 3833839, $53.51, $54.2, $53.51
12/18/2019, $53.6, 3930633, $54.35, $54.54, $53.425
12/17/2019, $54.18, 3966128, $54.3, $55.11, $54.02
12/16/2019, $54.35, 3294340, $54.55, $54.925, $54.335
12/13/2019, $54.15, 2705406, $54.34, $54.85, $54.13
12/12/2019, $54.49, 4054921, $54.46, $55.42, $54.16
12/11/2019, $54, 4881540, $54.54, $54.85, $53.81
12/10/2019, $54.91, 2785028, $55.29, $55.58, $54.755
12/09/2019, $55.47, 2601912, $55.81, $55.94, $55.4101
12/06/2019, $55.94, 2257048, $55.82, $56.27, $55.77
12/05/2019, $55.53, 2791748, $56.05, $56.18, $55.49
12/04/2019, $55.78, 3379706, $56.08, $56.55, $55.76
12/03/2019, $55.93, 3679313, $56.2, $56.34, $55.62
12/02/2019, $56.72, 2977369, $57.6, $57.8, $56.7
11/29/2019, $57.64, 1098366, $57.75, $57.95, $57.465
11/27/2019, $57.75, 1627596, $57.67, $57.95, $57.39
11/26/2019, $57.59, 2666472, $57.78, $57.89, $57.12
11/25/2019, $57.56, 2076445, $57.2, $57.77, $56.84
11/22/2019, $57.01, 1530338, $56.81, $57.12, $56.6
11/21/2019, $56.59, 2125969, $56.85, $57.07, $56.54
11/20/2019, $56.83, 3125779, $57.33, $57.485, $56.26
11/19/2019, $57.55, 2103575, $57.99, $58.05, $57.2968
11/18/2019, $57.78, 2205234, $57.68, $57.8, $57.195
11/15/2019, $57.79, 1647684, $57.89, $58.15, $57.68
11/14/2019, $57.63, 1901429, $57.24, $57.72, $57.08
11/13/2019, $57.59, 1949389, $57.6, $57.8401, $57.45
11/12/2019, $57.85, 1936039, $58.34, $58.41, $57.665
11/11/2019, $58.26, 3172672, $58.01, $58.295, $57.2
11/08/2019, $58.18, 2520613, $58.2, $58.35, $57.8892
11/07/2019, $58.24, 2860871, $58, $58.495, $57.86
11/06/2019, $57.86, 2649222, $57.9, $57.9, $57.04
11/05/2019, $57.88, 2897927, $57.16, $57.98, $57.01
11/04/2019, $56.98, 2368009, $56.53, $56.99, $56.37
11/01/2019, $56.26, 2364459, $56.34, $56.37, $55.85
10/31/2019, $56.13, 2555208, $56.55, $56.64, $55.73
10/30/2019, $57.04, 2280459, $57.19, $57.27, $56.48
10/29/2019, $57.21, 3074838, $57.61, $57.9, $57.145
10/28/2019, $57.64, 5439364, $56.92, $57.82, $56.83
10/25/2019, $56.74, 4044002, $56.07, $56.8, $55.73
10/24/2019, $56.29, 10544350, $54.2, $57.1, $54
10/23/2019, $53.24, 5051720, $52.93, $53.41, $52.66
10/22/2019, $52.92, 5636188, $53.12, $53.51, $52.29
10/21/2019, $53.23, 6857686, $54.31, $54.31, $53.14
10/18/2019, $53.48, 7672894, $53.87, $54.72, $53.45
